op_type,input_shape,device,latency_ms,throughput_ops_s,memory_mb
Linear,"(32, 1024, 1024)",A100,0.0421,23753,134
Linear,"(32, 4096, 4096)",A100,0.5952,1680,2147
Linear,"(1, 512, 768)",A100,0.0089,112360,12
Conv2d,"(32, 64, 224, 224)",A100,0.1031,9699,411
Conv2d,"(32, 256, 56, 56)",A100,0.0847,11807,164
Conv2d,"(1, 3, 224, 224)",A100,0.0156,64102,4
LayerNorm,"(32, 512, 768)",A100,0.0231,43290,48
LayerNorm,"(32, 2048, 1024)",A100,0.0689,14514,256
RMSNorm,"(32, 512, 3584)",A100,0.0312,32051,224
BatchNorm2d,"(32, 64, 224, 224)",A100,0.0287,34843,411
Softmax,"(32, 12, 512, 512)",A100,0.0481,20790,384
GELU,"(32, 512, 3072)",A100,0.0167,59880,192
SiLU,"(32, 512, 18944)",A100,0.0523,19120,1184
ReLU,"(32, 256, 56, 56)",A100,0.0089,112360,32
Dropout,"(32, 512, 768)",A100,0.0105,95238,48
Embedding,"(32, 512)",A100,0.0067,149254,48
MultiheadAttention,"(32, 512, 768)",A100,0.2145,4662,384
MultiheadAttention,"(1, 2048, 4096)",A100,1.8934,528,2048
