operator_type,instance_count,total_parameters,shapley_value,contribution_percent
Conv2d,336,18425302496288,0.7146,71.46
Linear,2764,38366289920,0.1343,13.43
Embedding,48,1753054976,0.0024,0.24
LayerNorm,613,1795478,0.0295,2.95
BatchNorm2d,328,1310784,0.0158,1.58
RMSNorm,375,1234112,0.0180,1.80
Conv1d,2,909312,0.0001,0.01
Softmax,484,0,0.0233,2.33
SiLU,178,0,0.0086,0.86
Dropout,682,0,0.0328,3.28
GELU,306,0,0.0147,1.47
ReLU,77,0,0.0037,0.37
MaxPool2d,3,0,0.0001,0.01
AdaptiveAvgPool2d,5,0,0.0002,0.02
ReLU6,35,0,0.0017,0.17
Tanh,8,0,0.0004,0.04
